2020-09-04 10:52:33.844 WARN  [restartedMain]org.mybatis.spring.mapper.ClassPathMapperScanner.warn:44 -Skipping MapperFactoryBean with name 'newsDocumentDao' and 'com.linq.news.mapper.NewsDocumentDao' mapperInterface. Bean already defined with the same name!
2020-09-04 13:54:27.746 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:273 -Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 13:54:27.747 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:263 -Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 13:54:38.377 WARN  [http-nio-9000-exec-6]o.s.w.s.m.m.annotation.ExceptionHandlerExceptionResolver.logException:199 -Resolved [java.util.NoSuchElementException: No value present]
2020-09-04 13:54:44.130 WARN  [http-nio-9000-exec-12]o.s.w.s.m.m.annotation.ExceptionHandlerExceptionResolver.logException:199 -Resolved [java.util.NoSuchElementException: No value present]
2020-09-04 13:54:56.380 WARN  [http-nio-9000-exec-13]o.s.w.s.m.m.annotation.ExceptionHandlerExceptionResolver.logException:199 -Resolved [java.util.NoSuchElementException: No value present]
2020-09-04 13:57:10.382 WARN  [restartedMain]org.mybatis.spring.mapper.ClassPathMapperScanner.warn:44 -Skipping MapperFactoryBean with name 'newsDocumentDao' and 'com.linq.news.mapper.NewsDocumentDao' mapperInterface. Bean already defined with the same name!
2020-09-04 13:57:13.181 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:273 -Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 13:57:13.182 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:263 -Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 13:57:13.182 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:273 -Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 13:57:13.182 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:263 -Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 13:57:26.926 WARN  [http-nio-9000-exec-6]o.s.w.s.m.m.annotation.ExceptionHandlerExceptionResolver.logException:199 -Resolved [java.util.NoSuchElementException: No value present]
2020-09-04 14:00:06.289 WARN  [restartedMain]org.mybatis.spring.mapper.ClassPathMapperScanner.warn:44 -Skipping MapperFactoryBean with name 'newsDocumentDao' and 'com.linq.news.mapper.NewsDocumentDao' mapperInterface. Bean already defined with the same name!
2020-09-04 14:00:09.815 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:273 -Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 14:00:09.816 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:263 -Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 14:00:09.818 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:273 -Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 14:00:09.819 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:263 -Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 14:00:34.862 WARN  [http-nio-9000-exec-6]o.s.w.s.m.m.annotation.ExceptionHandlerExceptionResolver.logException:199 -Resolved [java.util.NoSuchElementException: No value present]
2020-09-04 14:02:36.989 WARN  [restartedMain]org.mybatis.spring.mapper.ClassPathMapperScanner.warn:44 -Skipping MapperFactoryBean with name 'newsDocumentDao' and 'com.linq.news.mapper.NewsDocumentDao' mapperInterface. Bean already defined with the same name!
2020-09-04 14:02:39.522 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:273 -Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 14:02:39.523 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:263 -Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 14:02:39.523 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:273 -Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
2020-09-04 14:02:39.524 WARN  [restartedMain]org.springframework.data.convert.CustomConversions.register:263 -Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
